No,Code or Company's Name,Name,Listing Date,Share,Listing Board
197,DGIK,Nusa Konstruksi Enjiniring Tbk,19 Des 2007,"5,541,165,000",Utama
198,DGNS,Diagnos Laboratorium Utama Tbk,15 Jan 2021,"1,250,000,000",Pengembangan
199,DIGI,Arkadia Digital Media Tbk.,18 Sep 2018,"1,625,000,000",PENGEMBANGAN
200,DILD,Intiland Development Tbk.,04 Sep 1991,"10,365,854,185",UTAMA
201,DIVA,Distribusi Voucher Nusantara T,27 Nov 2018,"714,285,700",Pengembangan
202,DKFT,Central Omega Resources Tbk.,21 Nov 1997,"5,638,246,600",PENGEMBANGAN
203,DLTA,Delta Djakarta Tbk.,27 Feb 1984,"800,659,050",UTAMA
204,DMAS,Puradelta Lestari Tbk.,29 Mei 2015,"48,198,111,100",Utama
205,DMMX,Digital Mediatama Maxima Tbk.,21 Okt 2019,"7,692,307,700",Pengembangan
206,DMND,Diamond Food Indonesia Tbk.,22 Jan 2020,"9,468,359,000",UTAMA
207,DNAR,Bank Oke Indonesia Tbk.,11 Jul 2014,"11,447,006,258",Utama
208,DNET,Indoritel Makmur Internasional,11 Des 2000,"14,184,000,000",PENGEMBANGAN
209,DOID,Delta Dunia Makmur Tbk.,15 Jun 2001,"8,621,173,232",Utama
210,DPNS,Duta Pertiwi Nusantara Tbk.,08 Ags 1990,"331,129,952",Utama
211,DPUM,Dua Putra Utama Makmur Tbk.,08 Des 2015,"4,175,000,000",Utama
212,DSFI,Dharma Samudera Fishing Indust,24 Mar 2000,"1,857,135,500",UTAMA
213,DSNG,Dharma Satya Nusantara Tbk.,14 Jun 2013,"10,599,842,400",Utama
214,DSSA,Dian Swastatika Sentosa Tbk,10 Des 2009,"770,552,320",Utama
215,DUCK,Jaya Bersama Indo Tbk.,10 Okt 2018,"1,283,330,000",Utama
216,DUTI,Duta Pertiwi Tbk,02 Nov 1994,"1,850,000,000",Pengembangan
217,DVLA,Darya-Varia Laboratoria Tbk.,11 Nov 1994,"1,120,000,000",Utama
218,DWGL,Dwi Guna Laksana Tbk.,13 Des 2017,"8,711,600,156",Pengembangan
219,DYAN,Dyandra Media International Tb,25 Mar 2013,"4,272,964,279",Utama
220,EAST,Eastparc Hotel Tbk.,09 Jul 2019,"4,126,366,095",PENGEMBANGAN
221,ECII,Electronic City Indonesia Tbk.,03 Jul 2013,"1,334,333,000",PENGEMBANGAN
222,EDGE,Indointernet Tbk.,08 Feb 2021,"404,050,000",Pengembangan
223,EKAD,Ekadharma International Tbk.,14 Ags 1990,"698,775,000",UTAMA
224,ELSA,Elnusa Tbk.,06 Feb 2008,"7,298,500,000",UTAMA
225,ELTY,Bakrieland Development Tbk.,30 Okt 1995,"43,521,913,019",UTAMA
226,EMDE,Megapolitan Developments Tbk.,12 Jan 2011,"3,350,000,000",PENGEMBANGAN
227,EMTK,Elang Mahkota Teknologi Tbk.,12 Jan 2010,"61,197,518,483",Utama
228,ENRG,Energi Mega Persada Tbk.,07 Jun 2004,"24,821,230,250",Pengembangan
229,ENVY,Envy Technologies Indonesia Tb,08 Jul 2019,"1,800,000,000",Pengembangan
230,ENZO,Morenzo Abadi Perkasa Tbk.,14 Sep 2020,"2,162,545,004",PENGEMBANGAN
231,EPAC,Megalestari Epack Sentosaraya,01 Jul 2020,"3,303,400,000",PENGEMBANGAN
232,EPMT,Enseval Putera Megatrading Tbk,01 Ags 1994,"2,708,640,000",Pengembangan
233,ERAA,Erajaya Swasembada Tbk.,14 Des 2011,"15,950,000,000",UTAMA
234,ERTX,Eratex Djaja Tbk.,21 Ags 1990,"1,286,539,792",PENGEMBANGAN
235,ESIP,Sinergi Inti Plastindo Tbk.,14 Nov 2019,"640,001,405",PENGEMBANGAN
236,ESSA,Surya Esa Perkasa Tbk.,01 Feb 2012,"15,660,887,000",UTAMA
237,ESTA,Esta Multi Usaha Tbk.,09 Mar 2020,"630,000,000",Pengembangan
238,ESTI,Ever Shine Tex Tbk.,13 Okt 1992,"2,015,208,720",UTAMA
239,ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,"968,297,000",Utama
240,EXCL,XL Axiata Tbk.,29 Sep 2005,"10,724,674,776",Utama
241,FAPA,FAP Agri Tbk.,04 Jan 2021,"3,629,411,800",Pengembangan
242,FAST,Fast Food Indonesia Tbk.,11 Mei 1993,"3,990,277,158",PENGEMBANGAN
243,FASW,Fajar Surya Wisesa Tbk.,19 Des 1994,"2,477,888,787",UTAMA
244,FILM,MD Pictures Tbk.,07 Ags 2018,"9,511,217,000",Utama
245,FIMP,Fimperkasa Utama Tbk.,09 Apr 2021,"400,000,000",AKSELERASI
246,FIRE,Alfa Energi Investama Tbk.,09 Jun 2017,"1,475,363,179",PENGEMBANGAN
247,FISH,FKS Multi Agro Tbk.,18 Jan 2002,"480,000,000",Pengembangan
248,FITT,Hotel Fitra International Tbk.,11 Jun 2019,"600,023,227",PENGEMBANGAN
249,FLMC,Falmaco Nonwoven Industri Tbk.,08 Jul 2021,"781,250,000",Akselerasi
250,FMII,Fortune Mate Indonesia Tbk,30 Jun 2000,"2,721,000,000",PENGEMBANGAN
251,FOOD,Sentra Food Indonesia Tbk.,08 Jan 2019,"650,000,000",PENGEMBANGAN
252,FORU,Fortune Indonesia Tbk,17 Jan 2002,"465,224,000",PENGEMBANGAN
253,FORZ,Forza Land Indonesia Tbk.,28 Apr 2017,"1,984,009,887",UTAMA
254,FPNI,Lotte Chemical Titan Tbk.,21 Mar 2002,"5,566,414,000",PENGEMBANGAN
255,FREN,Smartfren Telecom Tbk.,29 Nov 2006,"308,075,463,469",Utama
256,FUJI,Fuji Finance Indonesia Tbk.,09 Jul 2019,"1,105,000,000",PENGEMBANGAN
257,GAMA,Aksara Global Development Tbk.,11 Jul 2012,"10,011,027,656",UTAMA
258,GDST,Gunawan Dianjaya Steel Tbk.,23 Des 2009,"9,242,500,000",PENGEMBANGAN
259,GDYR,Goodyear Indonesia Tbk.,22 Des 1980,"410,000,000",UTAMA
260,GEMA,Gema Grahasarana Tbk.,12 Ags 2002,"1,600,000,000",Pengembangan
261,GEMS,Golden Energy Mines Tbk.,17 Nov 2011,"5,882,353,000",UTAMA
262,GGRM,Gudang Garam Tbk.,27 Ags 1990,"1,924,088,000",UTAMA
263,GGRP,Gunung Raja Paksi Tbk.,19 Sep 2019,"12,111,376,157",Pengembangan
264,GHON,Gihon Telekomunikasi Indonesia,09 Apr 2018,"550,000,000",UTAMA
265,GIAA,Garuda Indonesia (Persero) Tbk,11 Feb 2011,"25,886,576,254",Utama
266,GJTL,Gajah Tunggal Tbk.,08 Mei 1990,"3,484,800,000",Utama
267,GLOB,Globe Kita Terang Tbk.,06 Sep 2005,"1,111,112,000",Pengembangan
268,GLVA,Galva Technologies Tbk.,23 Des 2019,"1,500,000,000",Pengembangan
269,GMFI,Garuda Maintenance Facility Ae,10 Okt 2017,"28,233,511,500",UTAMA
270,GMTD,Gowa Makassar Tourism Developm,11 Des 2000,"101,538,000",PENGEMBANGAN
271,GOLD,Visi Telekomunikasi Infrastruk,07 Jul 2010,"1,277,276,000",PENGEMBANGAN
272,GOLL,Golden Plantation Tbk.,23 Des 2014,"3,665,000,759",Pengembangan
273,GOOD,Garudafood Putra Putri Jaya Tb,10 Okt 2018,"36,897,901,455",Utama
274,GPRA,Perdana Gapuraprima Tbk.,10 Okt 2007,"4,276,655,336",UTAMA
275,GSMF,Equity Development Investment,23 Okt 1989,"7,454,723,337",Pengembangan
276,GTBO,Garda Tujuh Buana Tbk,09 Jul 2009,"2,500,000,000",Pengembangan
277,GWSA,Greenwood Sejahtera Tbk.,23 Des 2011,"7,800,760,000",UTAMA
278,GZCO,Gozco Plantations Tbk.,15 Mei 2008,"6,000,000,000",Utama
279,HADE,Himalaya Energi Perkasa Tbk.,12 Apr 2004,"2,120,000,000",PENGEMBANGAN
280,HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,"6,096,972,783",Utama
281,HDIT,Hensel Davest Indonesia Tbk.,12 Jul 2019,"1,524,680,000",Utama
282,HDTX,Panasia Indo Resources Tbk.,06 Jun 1990,"3,601,462,800",Utama
283,HEAL,Medikaloka Hermina Tbk.,16 Mei 2018,"14,890,000,000",Utama
284,HELI,Jaya Trishindo Tbk.,27 Mar 2018,"832,862,387",PENGEMBANGAN
285,HERO,Hero Supermarket Tbk.,21 Ags 1989,"4,183,634,000",Utama
286,HEXA,Hexindo Adiperkasa Tbk.,13 Feb 1995,"840,000,000",Utama
287,HITS,Humpuss Intermoda Transportasi,15 Des 1997,"7,101,084,801",Utama
288,HKMU,HK Metals Utama Tbk.,09 Okt 2018,"3,221,750,000",Utama
289,HMSP,H.M. Sampoerna Tbk.,15 Ags 1990,"116,318,076,900",Utama
290,HOKI,Buyung Poetra Sembada Tbk.,22 Jun 2017,"9,677,752,680",UTAMA
291,HOME,Hotel Mandarine Regency Tbk.,17 Jul 2008,"22,212,194,782",PENGEMBANGAN
292,HOMI,Grand House Mulia Tbk.,10 Sep 2020,"787,500,000",PENGEMBANGAN
293,HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,"2,129,167,000",PENGEMBANGAN
